,masked EntityID,CPR $net_inc_YTD,CPR_Group,IndustryCode,AuditMethod,StatementType,Cash,MarketableSec,AcctsRecTrade,BadDebtReserve,NetTradeAcctsRec,AcctsRecOther,RawMaterialsInv,WIPInv,FinGoodsInv,OtherInv,TotalInventory,IncTaxReceivable,CostsInExcBill,OtherOperAssets,NonOpCurAssets,LifoReserve,TotalCurAssets,DefIncTaxRec,ConstInProgress,Land,FixedAssets,AccumDeprec,NetFixedAssets,LongTermAcctsRec,LongTermInvest,OpNonCurAssets,LongTermPrepaids,NonOpNonCurAsts,Intangibles,AccumAmort,NetIntangibles,TotalNonCurAsts,TotalAssets,Overdrafts,STLoansPayable,CPLTD,CPSubDebt,AcctsPayTrade,AcctsPayOther,AccruedLiabs,InterestPayable,DividendsPayable,TotalAccrdLiabs,IncTaxesPayable,OtherOperLiabs,BillInexcCosts,NonOpCurLiabs,OffBSCurLiabs,TotalCurLiabs,LongTermDebt,CapLeaseOblig,DefIncTaxPayable,NonOpNonCurLiabs,OpNonCurLiabs,DueToRelParty,OffBSNonCurLiabs,SubDebtLiabs,MinorityIntLiabs,TotalNonCurLiabs,TotalLiabs,SubDebtEquity,MinIntEquity,PreferredStock,CommonStock,OtherEquity,TreasuryStock,CurrencyTranslat,RetainedEarnings,AccumulatedOCI,TotalNetWorth,TotLiabsNetWorth,GrossSales,SalesReturns,NetSales,CostOfGoodsSold,COGSDepreciation,TotalCOGS,GrossProfit,OperExpenses,SellingAndGenExp,OfficersComp,LeaseRentExp,DeprecExpense,AmortExpense,ESOPDividends,TotalOpExpenses,NetOpProfit,InterestIncome,InterestExpense,NonCashIncome,NonCashExpense,OtherIncome,IncomeFromSubs,GainLossAstSale,OtherExpense,TotalOtherIncExp,ProfitBeforeTax,IncomeTaxExp,NetIncomeTaxExp,MinorityIntExp,ProfitB4ExtItems,AfterTaxIncome,AfterTaxExpense,NetProfit,OtherCompIncome,CompIncome,DividendsStock,DividendsCommon,DividendsPref,AdjToRE,ConversionRate,QuickRatio,CurrentRatio,Year,TotalAssetsGrowth,TotalLiabsGrowth,NetWorthGrowth,NetSalesGrowth,OpProfitGrowth,NetProfitGrowth,AdjustedEBITDAGrowth,GrossProfitGrowth,SustainableGrow,IndustryType
844,199849,237.0984718,COMMERCIAL BANKING,311514,Unqualif'd,Annual,1795400.0,0.0,320600.0,4400.0,316200.0,0,146500.0,64100.0,262900.0,0.0,473500.0,8300.0,0.0,0.0,0.0,0.0,2593400.0,143100.0,110400.0,8100.0,1682200.0,733600.0,948600.0,0,0.0,187300.0,60400.0,0.0,272900.0,118000.0,154900.0,1494300.0,4087700.0,0.0,3900.0,0.0,0,515800.0,0.0,194700.0,0.0,76000.0,270700.0,24000.0,12400.0,417400.0,0.0,0.0,1244200.0,2976200.0,0.0,6200.0,0,333200.0,0,0.0,0.0,0.0,3315600.0,4559800.0,0,40600.0,0,1900.0,-514000.0,362600.0,0.0,773400.0,-411400.0,-472100.0,4087700.0,3742700.0,0.0,3742700.0,1255700.0,85300.0,1341000.0,2401700.0,97400.0,1308500.0,0.0,36100.0,0.0,14300.0,0.0,1456300.0,945400.0,13300.0,118700.0,0.0,34600.0,1700.0,0.0,0.0,93800.0,-232100.0,713300.0,164000.0,164000.0,4400.0,544900.0,0.0,0,544900.0,-64100.0,480800.0,0,307100.0,0,-104800.0,1.0,1.697155,2.084392,2016,2.2410650000000003,-0.670936,,-8.071132,-0.05611,-16.61821,-5.060416,-8.191896,-26.734257,Manufacturing
847,165903,,,332618,Tax Return,Annual,60.0,0.0,348.0,19.0,329.0,0,0.0,0.0,292.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,798.0,664.0,134.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,815.0,0.0,0.0,0.0,0,173.0,0.0,160.0,0.0,0.0,160.0,0.0,345.0,0.0,0.0,0.0,678.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,678.0,0,0.0,0,1.0,383.0,0.0,0.0,-247.0,0.0,137.0,815.0,4271.0,0.0,4271.0,3102.0,0.0,3102.0,1169.0,748.0,70.0,364.0,0.0,10.0,0.0,0.0,1192.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,-23.0,0.0,0,-23.0,0.0,-23.0,0,0.0,0,0.0,1.0,0.573746,1.004425,2009,-20.642648,-21.799308,-14.375,-20.450736,,,,0.0,-14.375,Manufacturing
848,851663,4112.7953294,COMMERCIAL BANKING,332721,Co.Prep'd,TTM,0.0,1198.0,812.0,10.0,802.0,0,526.0,771.0,1435.0,0.0,2732.0,0.0,0.0,0.0,0.0,0.0,4732.0,0.0,0.0,0.0,11660.0,8495.0,3165.0,0,199.0,0.0,82.0,21.0,274.0,0.0,274.0,3741.0,8473.0,0.0,1409.0,517.0,0,416.0,0.0,140.0,0.0,0.0,140.0,0.0,243.0,0.0,0.0,0.0,2725.0,899.0,728.0,0.0,0,0.0,0,0.0,0.0,0.0,899.0,3624.0,0,0.0,0,1504.0,0.0,0.0,0.0,3344.0,1.0,4849.0,8473.0,12885.0,0.0,12885.0,10539.0,0.0,10539.0,2346.0,0.0,1132.0,0.0,0.0,915.0,0.0,0.0,2047.0,299.0,54.0,264.0,0.0,0.0,48.0,0.0,36.0,0.0,-126.0,173.0,-15.0,-15.0,-36.0,224.0,0.0,0,224.0,4.0,228.0,0,200.0,0,-84.0,1.0,0.733945,1.736514,2019,-1.37353,-1.6820400000000002,-1.141692,-3.9006559999999997,2.934211,-36.363636,36.711712,11.290322999999999,0.510216,Manufacturing
849,197250,3144.7340038,BUSINESS BANKING,311930,Compiled,Annual,198.0,0.0,864.0,10.0,854.0,0,0.0,0.0,1489.0,0.0,1489.0,0.0,0.0,0.0,0.0,0.0,2541.0,0.0,1428.0,99.0,5062.0,2733.0,2329.0,0,0.0,0.0,7.0,0.0,34.0,0.0,34.0,2370.0,4911.0,0.0,38.0,20.0,0,222.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,360.0,1031.0,0.0,65.0,0,0.0,0,0.0,0.0,0.0,1096.0,1456.0,0,0.0,0,26.0,0.0,34.0,0.0,3463.0,0.0,3455.0,4911.0,7768.0,0.0,7768.0,4803.0,138.0,4941.0,2827.0,1167.0,0.0,1539.0,0.0,5.0,0.0,0.0,2711.0,116.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,66.0,10.0,10.0,0.0,56.0,0.0,0,56.0,0.0,56.0,0,0.0,0,0.0,1.0,2.922222,7.058333,2017,1.425031,0.9009010000000001,1.647543,8.370536,7.285714,,67.096774,8.647194,1.652478,Manufacturing
850,182359,0.0,BUSINESS BANKING,332813,Tax Return,Annual,1095.0,0.0,1311.0,0.0,1311.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406.0,0.0,0.0,0.0,2257.0,1787.0,470.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,2876.0,0.0,0.0,0.0,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,49.0,0,0.0,0,1.0,0.0,0.0,0.0,2826.0,0.0,2827.0,2876.0,8739.0,134.0,8605.0,6421.0,19.0,6440.0,2165.0,278.0,0.0,108.0,0.0,165.0,0.0,0.0,551.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,0.0,0.0,0.0,1614.0,0.0,0,1614.0,0.0,1614.0,0,1297.0,0,0.0,1.0,49.102041,49.102041,2017,13.630976,133.333333,12.629482000000001,6.841321000000001,-0.05170399999999999,-5.170388,-2.547425,0.9794780000000001,12.629482000000001,Manufacturing
851,192024,,,332510,Co.Prep'd,Rolling Stmt,1723.0,0.0,2566.0,22.0,2544.0,0,0.0,0.0,1777.0,0.0,1777.0,0.0,0.0,0.0,0.0,0.0,6044.0,0.0,0.0,0.0,6542.0,4735.0,1807.0,0,0.0,0.0,259.0,0.0,2266.0,148.0,2118.0,4184.0,10228.0,0.0,0.0,11.0,0,1124.0,0.0,261.0,112.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,1508.0,6749.0,21.0,0.0,0,0.0,0,0.0,4838.0,2715.0,14302.0,15810.0,0,0.0,0,0.0,0.0,0.0,0.0,-5582.0,0.0,-5582.0,10228.0,17517.0,0.0,17517.0,8575.0,0.0,8575.0,8942.0,338.0,3513.0,8.0,0.0,633.0,212.0,0.0,4704.0,4238.0,0.0,1628.0,0.0,1663.0,0.0,0.0,-3.0,92.0,-3386.0,852.0,0.0,0.0,0.0,852.0,0.0,0,852.0,0.0,852.0,0,170.0,0,-647.0,1.0,2.829576,4.007958,2011,7.054637,4.211983,,36.450738,5.4603660000000005,,110.947875,48.557947999999996,-6.562157000000001,Manufacturing
852,834838,,,332312,Tax Return,Annual,33.0,0.0,19.0,0.0,19.0,0,0.0,0.0,191.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,418.0,396.0,22.0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,270.0,0.0,0.0,0.0,0,51.0,0.0,1.0,0.0,0.0,1.0,0.0,63.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,115.0,0,0.0,0,1.0,4.0,0.0,0.0,150.0,0.0,155.0,270.0,324.0,0.0,324.0,247.0,0.0,247.0,77.0,46.0,0.0,16.0,0.0,6.0,0.0,0.0,68.0,9.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,6.0,2.0,2.0,0.0,4.0,0.0,0,4.0,0.0,4.0,0,0.0,0,0.0,1.0,0.45217399999999996,2.1130430000000002,2018,-5.594405999999999,-14.814815,2.649007,-32.5,3.5,,66.666667,11.594203,2.649007,Manufacturing
853,194829,,,332999,Co.Prep'd,Rolling Stmt,14106.0,0.0,176737.0,854.0,175883.0,0,0.0,0.0,178747.0,0.0,178747.0,0.0,0.0,0.0,0.0,0.0,368736.0,0.0,0.0,0.0,182511.0,57586.0,124925.0,0,16944.0,0.0,13764.0,17305.0,0.0,0.0,0.0,172938.0,541674.0,0.0,0.0,23198.0,0,77399.0,0.0,13228.0,0.0,0.0,13228.0,0.0,69319.0,0.0,0.0,0.0,183144.0,185112.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,185112.0,368256.0,0,0.0,0,1.0,61160.0,0.0,5673.0,106584.0,0.0,173418.0,541674.0,836042.0,0.0,836042.0,667964.0,0.0,667964.0,168078.0,0.0,95583.0,0.0,0.0,0.0,0.0,0.0,95583.0,72495.0,0.0,9158.0,0.0,0.0,21674.0,1421.0,15337.0,-4299.0,33573.0,106068.0,15738.0,15738.0,3599.0,86731.0,0.0,0,86731.0,0.0,86731.0,0,0.0,0,0.0,1.0,1.037375,2.0133669999999997,2011,14.523659,11.888724,20.552229999999998,26.556637,0.234273,15.481198999999998,23.427258,16.99219,100.05075699999999,Manufacturing
854,346756,,,332618,Unqualif'd,Annual,0.0,0.0,16014.0,540.0,15474.0,0,0.0,0.0,20005.0,0.0,20005.0,0.0,0.0,0.0,0.0,0.0,35479.0,0.0,2691.0,1816.0,95771.0,69669.0,26102.0,0,0.0,1.0,535.0,32.0,1530.0,452.0,1078.0,27748.0,63227.0,0.0,0.0,6167.0,0,7468.0,0.0,1196.0,0.0,0.0,1196.0,0.0,511.0,0.0,0.0,0.0,15342.0,30452.0,0.0,0.0,0,540.0,0,0.0,20725.0,0.0,51717.0,67059.0,0,-81.0,0,0.0,0.0,0.0,0.0,-3751.0,0.0,-3832.0,63227.0,87040.0,0.0,87040.0,77511.0,5899.0,83410.0,3630.0,0.0,6692.0,0.0,380.0,0.0,0.0,0.0,7072.0,-3442.0,0.0,2921.0,0.0,0.0,97.0,0.0,0.0,26.0,-2850.0,-6292.0,0.0,0.0,-85.0,-6207.0,0.0,0,-6207.0,0.0,-6207.0,0,0.0,0,0.0,1.0,1.008604,2.312541,2009,-24.190976000000003,-17.152811,,-41.746922999999995,,,-82.06569300000001,-79.46135600000001,-512.198854,Manufacturing
855,196262,0.0,COMMERCIAL BANKING,332439,Co.Prep'd,TTM,161.0,0.0,6516.0,145.0,6371.0,0,4877.0,791.0,1294.0,-1230.0,5732.0,0.0,0.0,0.0,0.0,0.0,12264.0,0.0,0.0,1798.0,34340.0,19188.0,15152.0,0,9509.0,176.0,492.0,0.0,1275.0,535.0,740.0,26069.0,38333.0,0.0,0.0,1780.0,0,1095.0,0.0,1471.0,0.0,0.0,1471.0,0.0,1561.0,1688.0,0.0,0.0,7595.0,15510.0,0.0,0.0,25,2063.0,0,0.0,0.0,0.0,17598.0,25193.0,0,0.0,0,2609.0,56.0,1322.0,0.0,13922.0,-2125.0,13140.0,38333.0,60435.0,0.0,60435.0,36719.0,0.0,36719.0,23716.0,20178.0,0.0,0.0,0.0,1272.0,31.0,0.0,21481.0,2235.0,0.0,521.0,0.0,0.0,304.0,0.0,24.0,14.0,-207.0,2028.0,0.0,0.0,616.0,1412.0,0.0,0,1412.0,65.0,1477.0,0,3897.0,0,302.0,1.0,0.8600389999999999,1.614747,2016,-4.054764,2.0124720000000003,-13.875598000000002,-13.789682999999998,-0.538985,-74.180464,-45.031073,-11.125192,-16.425313,Manufacturing
